Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Month
Darius Garland,PG,24,CLE,20,20,34.0,7.6,16.1,0.47,1.8,5.2,0.346,5.8,10.9,0.53,0.526,3.8,4.6,0.835,0.6,2.2,2.8,5.9,1.6,0.2,3.8,1.6,20.7,01-2024
Usman Garuba,PF,21,GSW,2,0,3.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,01-2024
Luka Garza,C,25,MIN,9,0,2.6,0.6,1.8,0.313,0.0,0.6,0.0,0.6,1.2,0.455,0.313,0.6,0.9,0.625,0.4,0.4,0.9,0.2,0.0,0.0,0.2,0.8,1.7,01-2024
Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,01-2024
Keyonte George,PG,20,UTA,39,16,24.3,3.4,9.2,0.367,1.7,5.2,0.328,1.7,4.0,0.417,0.459,2.5,3.0,0.814,0.3,2.4,2.8,4.4,0.5,0.1,2.0,1.1,10.9,01-2024
Paul George,PF,33,LAC,40,40,34.7,8.3,17.8,0.468,3.6,8.5,0.419,4.8,9.3,0.512,0.568,3.3,3.7,0.911,0.6,4.9,5.6,3.6,1.6,0.4,2.1,2.9,23.5,01-2024
Taj Gibson,PF,38,NYK,10,0,9.7,0.7,1.4,0.5,0.0,0.4,0.0,0.7,1.0,0.7,0.5,0.0,0.0,,0.6,1.2,1.8,0.5,0.1,0.6,0.2,2.0,1.4,01-2024
Josh Giddey,SG,21,OKC,43,43,24.9,4.8,10.6,0.454,0.9,2.8,0.336,3.9,7.8,0.496,0.498,1.2,1.4,0.806,1.4,4.8,6.3,4.6,0.7,0.4,2.1,1.3,11.7,01-2024
Harry Giles,C,25,BRK,12,0,5.6,1.5,3.0,0.5,0.1,0.7,0.125,1.4,2.3,0.607,0.514,0.5,0.9,0.545,0.8,0.8,1.6,0.3,0.1,0.3,0.3,0.8,3.6,01-2024
Shai Gilgeous-Alexander,PG,25,OKC,43,43,34.4,11.0,20.0,0.546,1.1,3.4,0.329,9.8,16.7,0.591,0.574,8.1,9.1,0.89,0.9,4.7,5.6,6.4,2.3,0.8,2.1,2.6,31.1,01-2024
Anthony Gill,PF,31,WAS,25,0,5.9,0.9,1.8,0.489,0.1,0.4,0.182,0.8,1.4,0.588,0.511,0.5,0.6,0.75,0.5,0.8,1.4,0.4,0.1,0.2,0.4,0.5,2.3,01-2024
Collin Gillespie,PG,24,DEN,14,0,6.9,0.8,1.7,0.458,0.3,0.9,0.308,0.5,0.8,0.636,0.542,0.3,0.4,0.8,0.1,0.3,0.4,0.6,0.4,0.0,0.4,0.9,2.1,01-2024
Jacob Gilyard,PG,25,MEM,27,10,16.6,1.4,3.4,0.402,1.1,2.8,0.413,0.2,0.6,0.353,0.571,0.0,0.0,1.0,0.3,0.8,1.0,3.3,0.6,0.1,0.6,0.9,3.9,01-2024
Rudy Gobert,C,31,MIN,43,43,33.0,5.0,7.9,0.633,0.0,0.0,0.0,5.0,7.9,0.637,0.633,3.3,5.2,0.632,3.6,9.0,12.5,1.2,0.6,2.1,1.6,2.9,13.3,01-2024
Jordan Goodwin,PG,25,PHO,36,0,15.2,2.0,5.2,0.38,0.6,2.2,0.288,1.3,3.0,0.449,0.441,0.6,0.8,0.852,1.1,2.1,3.2,2.1,0.6,0.2,0.8,1.2,5.2,01-2024
Aaron Gordon,PF,28,DEN,39,39,32.1,5.4,10.0,0.542,0.5,1.8,0.282,4.9,8.2,0.601,0.568,2.2,3.6,0.621,2.6,4.0,6.6,3.1,0.8,0.6,1.3,1.8,13.6,01-2024
Eric Gordon,SG,35,PHO,36,19,30.4,4.6,10.4,0.443,2.5,6.6,0.376,2.1,3.8,0.558,0.561,0.8,1.0,0.778,0.3,1.8,2.1,2.3,0.9,0.5,1.3,1.3,12.5,01-2024
Devonte' Graham,PG,28,SAS,10,0,8.8,1.1,2.8,0.393,0.7,2.0,0.35,0.4,0.8,0.5,0.518,0.6,0.8,0.75,0.2,1.1,1.3,1.9,0.3,0.1,0.3,0.4,3.5,01-2024
Jerami Grant,PF,29,POR,39,39,34.0,7.5,16.3,0.461,2.2,5.4,0.412,5.3,10.8,0.485,0.529,4.4,5.5,0.798,0.7,3.0,3.6,2.6,0.7,0.8,2.0,2.2,21.6,01-2024
A.J. Green,SG,24,MIL,27,0,7.6,1.1,2.6,0.429,0.9,2.2,0.417,0.2,0.4,0.5,0.607,0.1,0.1,1.0,0.2,0.6,0.8,0.6,0.0,0.0,0.0,0.9,3.3,01-2024
Danny Green,SG,36,PHI,2,0,9.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,01-2024
Draymond Green,PF,33,GSW,17,15,24.9,3.4,6.7,0.509,1.2,2.7,0.457,2.2,4.0,0.544,0.601,1.6,1.9,0.844,1.4,4.2,5.6,5.5,0.5,0.7,2.4,3.1,9.6,01-2024
Jalen Green,SG,21,HOU,43,43,30.5,5.9,14.7,0.401,2.0,6.4,0.319,3.9,8.3,0.465,0.471,3.5,4.4,0.795,0.4,4.1,4.5,3.2,0.6,0.3,2.2,1.3,17.4,01-2024
Jeff Green,PF,37,HOU,41,2,16.9,2.1,4.1,0.521,0.4,1.3,0.308,1.8,2.9,0.615,0.568,1.8,2.2,0.824,0.7,1.5,2.1,0.8,0.2,0.5,0.7,1.5,6.5,01-2024
Josh Green,SG,23,DAL,31,14,26.1,2.9,6.3,0.459,1.2,3.2,0.38,1.6,3.0,0.543,0.557,0.6,1.0,0.563,0.6,2.5,3.1,2.5,0.7,0.2,1.0,1.8,7.5,01-2024
AJ Griffin,SF,20,ATL,17,0,7.7,0.8,2.6,0.295,0.5,1.9,0.273,0.2,0.6,0.364,0.398,0.1,0.1,1.0,0.1,0.6,0.8,0.2,0.1,0.1,0.4,0.4,2.2,01-2024
Quentin Grimes,SG,23,NYK,41,18,19.8,2.3,6.0,0.387,1.7,4.6,0.368,0.6,1.4,0.448,0.528,0.4,0.5,0.714,0.3,1.4,1.7,1.1,0.7,0.1,0.5,1.5,6.8,01-2024
Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,01-2024
Rui Hachimura,PF,25,LAL,31,7,23.1,4.3,9.0,0.475,1.1,3.0,0.359,3.2,6.0,0.532,0.534,1.5,2.0,0.762,0.8,2.6,3.5,1.1,0.7,0.3,0.7,1.3,11.1,01-2024
Tyrese Haliburton,PG,23,IND,34,34,33.4,8.4,16.9,0.496,3.4,8.4,0.4,5.0,8.5,0.59,0.595,3.5,4.1,0.862,0.6,3.5,4.1,12.6,1.1,0.6,2.5,1.1,23.6,01-2024
R.J. Hampton,PG,22,MIA,8,2,9.5,0.5,1.8,0.286,0.1,1.0,0.125,0.4,0.8,0.5,0.321,0.1,0.3,0.5,0.3,0.5,0.8,1.0,0.0,0.0,0.4,1.0,1.3,01-2024
Tim Hardaway Jr.,SF,31,DAL,41,8,29.8,6.2,14.7,0.421,3.3,8.9,0.367,2.9,5.8,0.504,0.532,2.5,2.8,0.871,0.3,3.3,3.6,1.7,0.5,0.0,1.0,1.5,18.1,01-2024
James Harden,PG,34,LAC,37,37,34.2,5.1,11.3,0.456,2.8,6.5,0.423,2.4,4.8,0.5,0.578,4.3,4.9,0.873,0.3,4.2,4.5,8.5,1.2,0.9,2.6,2.1,17.3,01-2024
Jaden Hardy,SG,21,DAL,39,4,15.5,2.8,7.4,0.381,1.3,3.8,0.351,1.5,3.6,0.411,0.471,0.7,1.1,0.683,0.3,1.8,2.1,1.6,0.3,0.1,0.7,1.2,7.7,01-2024
Ron Harper Jr.,PF,23,TOR,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,01-2024
Gary Harris,SG,29,ORL,27,6,22.8,2.4,5.7,0.429,1.3,4.0,0.333,1.1,1.7,0.652,0.545,0.9,1.1,0.774,0.5,1.2,1.7,1.9,0.9,0.2,0.5,1.7,7.1,01-2024
Joe Harris,SG,32,DET,15,0,10.5,0.9,2.4,0.361,0.7,1.9,0.345,0.2,0.5,0.429,0.5,0.1,0.1,0.5,0.2,0.7,0.9,0.7,0.2,0.1,0.3,1.2,2.5,01-2024
Kevon Harris,SG,26,ORL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,01-2024
Tobias Harris,PF,31,PHI,41,41,34.1,6.7,13.1,0.509,1.2,3.5,0.359,5.4,9.6,0.563,0.557,3.1,3.5,0.902,1.0,5.0,6.0,3.2,1.0,0.5,1.5,1.7,17.7,01-2024
Shaquille Harrison,SG,30,MEM,3,0,2.0,0.3,0.7,0.5,0.0,0.0,,0.3,0.7,0.5,0.5,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.7,01-2024
